N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"72,400",300,-0.41%,100,"4,322,123","5,969,783",52.75,"12,186,331",10.93,17.07,
2,LG에너지솔루션,"550,000","3,000",+0.55%,500,"1,287,000","234,000",5.42,"230,265",123.60,5.75,
3,SK하이닉스,"116,200","1,900",+1.66%,"5,000","845,939","728,002",51.65,"4,309,936",-36.31,3.56,
4,삼성바이오로직스,"748,000","6,000",+0.81%,"2,500","532,382","71,174",10.58,"42,790",66.95,11.42,
5,삼성전자우,"60,500",0,0.00%,100,"497,846","822,887",72.44,"735,727",9.13,N/A,
6,LG화학,"660,000","2,000",-0.30%,"5,000","465,909","70,592",47.35,"291,837",31.67,6.95,
7,삼성SDI,"665,000","8,000",+1.22%,"5,000","457,284","68,765",49.33,"200,311",23.00,12.52,
8,현대차,"204,500","1,500",-0.73%,"5,000","432,582","211,532",32.32,"314,270",6.22,9.36,
9,기아,"86,000",400,-0.46%,"5,000","345,758","402,044",37.71,"759,270",5.37,14.57,
10,POSCO홀딩스,"387,500","2,000",-0.51%,"5,000","327,714","84,571",37.63,"552,135",15.36,6.11,
11,NAVER,"183,400","1,400",-0.76%,100,"300,866","164,049",46.91,"575,303",46.71,3.29,
12,포스코퓨처엠,"350,000",500,+0.14%,500,"271,121","77,463",7.34,"446,407",223.79,4.87,
13,셀트리온,"152,500",700,+0.46%,"1,000","223,246","146,391",19.95,"390,418",38.16,13.35,
14,카카오,"49,000",0,0.00%,100,"217,611","444,104",25.32,"1,273,474",171.33,13.54,
15,현대모비스,"226,000","5,000",-2.16%,"5,000","213,084","94,285",37.12,"135,556",7.60,6.80,
16,LG전자,"126,000","3,200",+2.61%,"5,000","206,196","163,648",30.02,"947,565",51.66,6.61,
17,삼성물산,"104,500",700,-0.67%,100,"193,943","185,592",18.25,"155,767",9.12,7.16,
18,KB금융,"47,100","1,050",-2.18%,"5,000","190,054","403,511",72.18,"870,924",4.35,9.17,
19,신한지주,"33,850",850,-2.45%,"5,000","175,460","518,347",59.10,"986,485",3.87,9.70,
20,SK이노베이션,"158,000","2,700",-1.68%,"5,000","146,096","92,466",23.94,"588,549",22.99,8.49,
21,LG,"88,100",100,-0.11%,"5,000","138,582","157,301",36.00,"161,413",12.84,8.48,
22,삼성생명,"66,900",400,+0.60%,500,"133,800","200,000",16.29,"187,140",6.62,5.73,
23,한국전력,"20,050",260,+1.31%,"5,000","128,714","641,964",14.42,"2,021,574",-0.55,-46.91,
24,하이브,"279,500","5,500",-1.93%,500,"116,409","41,649",16.82,"186,239",262.20,1.87,
25,하나금융지주,"38,800","1,450",-3.60%,"5,000","114,811","295,903",68.73,"1,243,733",3.06,10.06,
26,HD현대중공업,"129,300",800,+0.62%,"5,000","114,784","88,773",6.99,"91,993",-58.35,-6.47,
27,두산에너빌리티,"17,750",250,-1.39%,"5,000","113,700","640,561",13.54,"3,372,366",-17.00,-11.70,
28,카카오뱅크,"23,750",400,-1.66%,"5,000","113,232","476,767",14.16,"485,959",37.94,4.68,
29,KT&G,"82,000","2,000",-2.38%,"5,000","112,580","137,292",42.90,"353,528",11.01,11.00,
30,SK,"148,300","4,800",-3.14%,200,"108,553","73,198",22.21,"250,207","-7,415.00",5.13,
31,삼성화재,"228,500",500,-0.22%,500,"108,252","47,375",52.79,"60,475",8.00,9.70,
32,삼성전기,"143,400",600,+0.42%,"5,000","107,111","74,694",31.03,"202,480",14.33,13.76,
33,SK텔레콤,"46,250","1,400",-2.94%,100,"101,210","218,833",42.89,"881,742",10.21,7.97,
34,고려아연,"478,500","5,000",-1.03%,"5,000","95,045","19,863",20.91,"28,791",12.23,9.38,
35,크래프톤,"195,000","4,000",-2.01%,100,"94,307","48,363",31.58,"81,935",18.33,10.29,
36,삼성에스디에스,"121,700",300,-0.25%,500,"94,169","77,378",16.04,"95,343",8.52,14.23,
37,HMM,"18,720",120,-0.64%,"5,000","91,548","489,039",10.56,"814,019",1.26,64.98,
38,대한항공,"24,100",100,-0.41%,"5,000","88,741","368,221",15.13,"1,603,914",6.16,21.95,
39,메리츠금융지주,"41,500",150,-0.36%,500,"86,410","208,218",15.28,"261,861",4.47,30.32,
40,우리금융지주,"11,610",370,-3.09%,"5,000","84,528","728,061",38.75,"3,588,060",2.63,11.51,
41,한화오션,"37,600",150,+0.40%,"5,000","81,544","216,873",1.79,"708,956",-2.94,-117.79,
42,기업은행,"10,200",130,-1.26%,"5,000","81,337","797,426",13.99,"509,593",2.87,9.85,
43,HD한국조선해양,"114,500",800,-0.69%,"5,000","81,035","70,773",22.18,"331,867",-64.80,-2.22,
44,KT,"29,800",600,-1.97%,"5,000","77,811","261,112",40.03,"1,071,582",6.77,7.99,
45,S-Oil,"66,200","1,900",-2.79%,"2,500","74,530","112,583",78.01,"560,744",5.15,27.20,
46,LG이노텍,"307,000","4,000",+1.32%,"5,000","72,658","23,667",21.17,"104,700",9.13,25.85,
47,현대글로비스,"192,300","5,400",-2.73%,500,"72,112","37,500",47.96,"86,640",6.12,18.78,
48,LG생활건강,"461,500","14,000",-2.94%,"5,000","72,078","15,618",34.09,"112,200",37.44,4.41,
49,한화솔루션,"41,750",550,-1.30%,"5,000","71,765","171,893",24.12,"887,195",21.32,4.21,
50,포스코인터내셔널,"38,850",850,-2.14%,"5,000","68,346","175,923",6.23,"2,048,708",8.67,15.79,
