에어서울,06:00GMP,07:00CJU,01시간 00분,"특가석편도 26,600원~"
에어서울,06:00GMP,07:00CJU,01시간 00분,"할인석편도 28,600원~"
에어서울,1%적립이벤트혜택,06:00GMP,07:00CJU,01시간 00분,"일반석편도 29,900원~",네이버페이 결제시 1% 적립,"편도 29,601원~"
진에어,1%적립이벤트혜택,06:05GMP,07:20CJU,01시간 15분,"특가석편도 26,200원~",네이버페이 결제시 1% 적립,"편도 25,938원~"
진에어,1%적립이벤트혜택,06:05GMP,07:20CJU,01시간 15분,"할인석편도 35,900원~",네이버페이 결제시 1% 적립,"편도 35,541원~"
대한항공진에어 공동운항,1%적립이벤트혜택,06:05GMP,07:20CJU,01시간 15분,"할인석편도 52,700원~"
대한항공진에어 공동운항,06:05GMP,07:20CJU,01시간 15분,"일반석편도 72,700원~"
진에어,1%적립이벤트혜택,06:05GMP,07:20CJU,01시간 15분,"일반석편도 82,700원~",네이버페이 결제시 1% 적립,"편도 81,873원~"
이스타항공,06:10GMP,07:20CJU,01시간 10분,"할인석편도 27,600원~"
아시아나항공,1%적립이벤트혜택,06:10GMP,07:20CJU,01시간 10분,"특가석편도 32,700원~",네이버페이 결제시 1% 적립,"편도 32,373원~"
아시아나항공,1%적립이벤트혜택,06:10GMP,07:20CJU,01시간 10분,"할인석편도 57,700원~",네이버페이 결제시 1% 적립,"편도 57,123원~"
이스타항공,06:10GMP,07:20CJU,01시간 10분,"일반석편도 82,600원~"
아시아나항공,1%적립이벤트혜택,06:10GMP,07:20CJU,01시간 10분,"일반석편도 101,700원~",네이버페이 결제시 1% 적립,"편도 100,683원~"
진에어,1%적립이벤트혜택,06:15GMP,07:25CJU,01시간 10분,"특가석편도 24,300원~",네이버페이 결제시 1% 적립,"편도 24,057원~"
이스타항공,06:15GMP,07:25CJU,01시간 10분,"할인석편도 27,600원~"
진에어,1%적립이벤트혜택,06:15GMP,07:25CJU,01시간 10분,"할인석편도 34,000원~",네이버페이 결제시 1% 적립,"편도 33,660원~"
제주항공,1%적립이벤트혜택,06:15GMP,07:30CJU,01시간 15분,"특가석편도 41,600원~",네이버페이 결제시 1% 적립,"편도 41,184원~"
이스타항공,06:15GMP,07:25CJU,01시간 10분,"일반석편도 82,600원~"
진에어,1%적립이벤트혜택,06:15GMP,07:25CJU,01시간 10분,"일반석편도 82,700원~",네이버페이 결제시 1% 적립,"편도 81,873원~"
제주항공,1%적립이벤트혜택,06:15GMP,07:30CJU,01시간 15분,"일반석편도 82,700원~",네이버페이 결제시 1% 적립,"편도 81,873원~"
